name,address,website,lat,lng,drive_distance,drive_time
Southern Chevrolet Inc,"518 Bell St, De Kalb, MS 39328, USA",http://www.southernchevy.com/,32.7665702,-88.6502173,455 km,4 hours 24 mins
Carl Hogan Toyota,"3907 Hwy 45 N, Columbus, MS 39705, USA",http://www.carlhogantoyota.com/,33.5498263,-88.4347141,427 km,4 hours 8 mins
Cannon Ford of Starkville,"12249 MS-182, Starkville, MS 39759, USA",https://www.cannonfordlincolnofstarkville.net/?utm_source=google&utm_medium=GBP,33.471383599999996,-88.7660684,458 km,4 hours 23 mins
Carl Hogan Honda,"3621 Hwy 45 N, Columbus, MS 39705, USA",https://www.carlhoganhonda.com/,33.5463145,-88.43590239999999,427 km,4 hours 9 mins
Parker Chrysler Dodge Jeep Ram,"105 Parker-McGill Dr, Starkville, MS 39759, USA",https://www.parkercdjr.com/,33.4826015,-88.7953723,462 km,4 hours 25 mins
Columbus Nissan Inc,"100 MS-12, Columbus, MS 39702, USA",http://www.columbusnissan.com/,33.5209121,-88.36280049999999,420 km,4 hours 2 mins
Cannon Chevrolet GMC of West Point,"1522 US-45 ALT, West Point, MS 39773, USA",https://www.cannongmofwestpoint.com/,33.631616799999996,-88.6581604,462 km,4 hours 27 mins
Bill Russell Ford,"2120 Hwy 45 N, Columbus, MS 39705, USA",https://www.billrussellford.com/,33.526606099999995,-88.4356707,425 km,4 hours 6 mins
Columbus Hyundai,"150 Hwy 12 E, Columbus, MS 39702, USA",http://columbushyundai.net/,33.521676,-88.362751,420 km,4 hours 3 mins
Cannon Chrysler Dodge Jeep Ram of West Point,"8600 US-45 ALT N, West Point, MS 39773, USA",https://www.cannoncdjrwestpoint.com/?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,33.6312709,-88.65841909999999,462 km,4 hours 27 mins
Carl Hogan Automotive Chrysler Dodge Jeep Ram,"2335 Hwy 45 N, Columbus, MS 39705, USA",https://www.carlhoganautomotive.net/,33.5331394,-88.4384333,426 km,4 hours 8 mins
Carlock Toyota Tupelo,"882 Cross Creek Dr, Saltillo, MS 38866, USA",https://www.carlocktoyotaoftupelo.com/,34.3211741,-88.6985814,387 km,3 hours 57 mins
Barnes Crossing Hyundai,"3983 N Gloster St, Tupelo, MS 38804, USA",https://www.bchyundaioftupelo.com/,34.3131164,-88.7074154,387 km,3 hours 58 mins
Barnes Crossing Kia,"3003 Tom Watson Dr, Saltillo, MS 38866, USA",https://www.bckiaoftupelo.com/,34.3139902,-88.6972339,387 km,3 hours 56 mins
Barnes Crossing Mitsubishi,"2819 MS-145, Saltillo, MS 38866, USA",http://www.bcmitsubishiofsaltillo.com/,34.352368999999996,-88.7053443,393 km,4 hours 1 min
Carlock Chrysler Dodge Jeep Ram of Tupelo,"966 Cross Creek Dr, Saltillo, MS 38866, USA",https://www.carlockdodgetupelo.com/,34.3198013,-88.69855489999999,387 km,3 hours 56 mins
Dossett Big 4 Buick GMC INC.,"628 S Gloster St, Tupelo, MS 38801, USA",https://www.dossettbig4.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_sales_websitelink,34.2468012,-88.71635069999999,389 km,4 hours 1 min
House of Honda,"712 S Gloster St, Tupelo, MS 38801, USA",http://www.houseofhondatupelo.com/,34.2456658,-88.7166395,389 km,4 hours 2 mins
Dwayne Blackmon Chevrolet,"1410 S Gloster St, Tupelo, MS 38801, USA",https://www.blackmonchevrolet.com/,34.2232467,-88.7206212,389 km,4 hours 2 mins
Barnes Crossing Volkswagen,"3973 N Gloster St, Tupelo, MS 38804, USA",https://www.bcvolkswagenoftupelo.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,34.3123046,-88.7076653,387 km,3 hours 58 mins
Metro Ford Auto Sales,"1000 Barnes Crossing Rd, Tupelo, MS 38804, USA",http://metrofordautosales.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,34.3177021,-88.70193719999999,387 km,3 hours 57 mins
